time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.39069e-309	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714429	0.588643	7.07001	-9.96444e-18	-2.33746e-18	radar	74.4389	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16102	0.493489	7.07237	-0.0688337	-0.00827625	lidar	0.185234	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27669	0.513694	7.06738	0.192231	0.0387503	radar	1.81012	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.6135	0.594667	7.08649	0.245161	0.0529333	lidar	0.201906	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82112	0.56976	6.34257	0.093558	-0.0574714	radar	4.25478	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15306	0.616073	6.35697	0.108284	-0.0295944	lidar	0.159937	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36914	0.642954	5.60559	0.0884979	-0.220242	radar	7.93552	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.6484	0.665837	5.60791	0.0769611	-0.223025	lidar	0.00278776	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91543	0.655596	5.52376	0.0188922	-0.425351	radar	0.529459	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15105	0.652849	5.48137	0.00337374	-0.397463	lidar	1.10293	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43869	0.545111	5.51539	-0.159215	-0.879524	radar	1.48615	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74368	0.430361	5.58511	-0.288646	-1.1401	lidar	2.21055	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.0233	0.515926	5.54571	-0.144619	-0.575565	radar	4.07988	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29751	0.506853	5.52974	-0.139505	-0.492155	lidar	0.347151	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
